;any;not any;restricted any;total vars;unknown calls;total calls\\
file_utilities&0,8182&0,1818&0,0000&33&0,6316&19\\
pager&0,8889&0,1111&0,0000&9&0,7143&7\\
simple_bootstrap&0,8571&0,1429&0,0000&7&0,8000&5\\
thousands&0,0526&0,9474&0,0000&19&0,0000&16\\
dotcloud&1,0000&0,0000&0,0000&11&0,7778&9\\
rtg&0,5250&0,4750&0,0000&40&0,5556&36\\
fnotation&0,8852&0,0984&0,0164&61&0,1739&23\\
twitter&0,8056&0,1944&0,0000&36&0,6250&24\\
dictype&0,7333&0,2667&0,0000&15&0,6429&14\\
bencode&0,5417&0,4583&0,0000&24&0,5200&25\\
log4p&0,8571&0,1429&0,0000&84&0,2069&58\\
plchatscript&1,0000&0,0000&0,0000&21&0,3750&8\\
lcs&0,9231&0,0769&0,0000&39&0,4286&14\\
readability_parser&0,6923&0,3077&0,0000&13&0,2857&7\\
function_expansion&0,4857&0,5143&0,0000&35&0,2222&18\\
uuid&0,4219&0,5781&0,0000&64&0,2321&56\\
sort_dict&0,7895&0,2105&0,0000&19&0,0000&5\\
timeutils&0,7879&0,2121&0,0000&33&0,6000&10\\
pluuid&0,4219&0,5781&0,0000&64&0,2321&56\\
css_write&0,8101&0,1899&0,0000&79&0,4000&15\\
switex&0,9333&0,0667&0,0000&75&0,3556&45\\
resp&0,4353&0,5647&0,0000&85&0,3438&64\\
resp_parse&0,4353&0,5647&0,0000&85&0,3438&64\\
resbound&0,4667&0,4889&0,0444&45&0,3636&22\\
number_to_word&0,9211&0,0789&0,0000&114&0,1111&9\\
notes800&0,9111&0,0889&0,0000&90&0,3824&34\\
hilog&0,5652&0,4348&0,0000&23&0,4444&27\\
nanp&1,0000&0,0000&0,0000&49&0,7727&22\\
unified_diff&0,9375&0,0625&0,0000&48&0,6250&8\\
gvterm&0,9706&0,0294&0,0000&102&0,6429&14\\
mail_merge&1,0000&0,0000&0,0000&10&1,0000&3\\
coworkers&0,6049&0,3951&0,0000&81&0,1837&49\\
clitable&0,7294&0,2706&0,0000&85&0,5098&51\\
chan&0,7143&0,2857&0,0000&21&0,0714&14\\
graphql&0,8923&0,0462&0,0615&65&0,6154&13\\
typedef&0,9118&0,0882&0,0000&34&0,5385&13\\
rdet&0,5147&0,4853&0,0000&68&0,5077&65\\
interpolate&0,7358&0,2642&0,0000&53&0,3448&29\\
term_diff&0,8434&0,1566&0,0000&83&0,2979&47\\
geoip&0,9231&0,0769&0,0000&26&0,6000&20\\
fluents&1,0000&0,0000&0,0000&19&1,0000&11\\
with&0,8571&0,1429&0,0000&21&0,6667&3\\
lambda&1,0000&0,0000&0,0000&115&0,9167&36\\
web&0,8333&0,1667&0,0000&48&0,4722&36\\
condition&0,9444&0,0556&0,0000&18&0,6000&5\\
open_dicts&0,6857&0,2000&0,1143&70&0,4615&52\\
dot_dcg&0,8333&0,1364&0,0303&66&0,0000&7\\
plsmf&0,6269&0,3731&0,0000&67&0,3750&24\\
matrix&0,3730&0,6270&0,0000&185&0,1635&104\\
