;any;not any;restricted any;total vars;unknown calls;total calls\\
file_utilities&0,8378&0,1622&0,0000&37&0,6316&19\\
pager&0,9000&0,1000&0,0000&10&0,7143&7\\
simple_bootstrap&0,8571&0,1429&0,0000&7&0,8000&5\\
thousands&0,3571&0,6429&0,0000&28&0,0000&16\\
dotcloud&1,0000&0,0000&0,0000&12&0,7778&9\\
rtg&0,5366&0,4634&0,0000&41&0,5556&36\\
fnotation&0,8986&0,0870&0,0145&69&0,1739&23\\
twitter&0,8056&0,1944&0,0000&36&0,6250&24\\
dictype&0,7500&0,2500&0,0000&16&0,6429&14\\
bencode&0,5417&0,4583&0,0000&24&0,5200&25\\
log4p&0,8636&0,1364&0,0000&88&0,2069&58\\
plchatscript&1,0000&0,0000&0,0000&22&0,3750&8\\
lcs&0,9362&0,0638&0,0000&47&0,4286&14\\
readability_parser&0,7778&0,2222&0,0000&18&0,2857&7\\
function_expansion&0,5909&0,4091&0,0000&44&0,2222&18\\
uuid&0,4308&0,5692&0,0000&65&0,2321&56\\
sort_dict&0,7895&0,2105&0,0000&19&0,0000&5\\
timeutils&0,8108&0,1892&0,0000&37&0,6000&10\\
pluuid&0,4308&0,5692&0,0000&65&0,2321&56\\
css_write&0,8125&0,1875&0,0000&80&0,4000&15\\
switex&0,9342&0,0658&0,0000&76&0,3556&45\\
resp&0,4845&0,5155&0,0000&97&0,3438&64\\
resp_parse&0,4845&0,5155&0,0000&97&0,3438&64\\
resbound&0,4667&0,4889&0,0444&45&0,3636&22\\
number_to_word&0,9211&0,0789&0,0000&114&0,1111&9\\
notes800&0,9130&0,0870&0,0000&92&0,3824&34\\
hilog&0,5385&0,4615&0,0000&26&0,4444&27\\
nanp&1,0000&0,0000&0,0000&61&0,7727&22\\
unified_diff&0,9400&0,0600&0,0000&50&0,6250&8\\
gvterm&0,9714&0,0286&0,0000&105&0,6429&14\\
mail_merge&1,0000&0,0000&0,0000&10&1,0000&3\\
coworkers&0,6235&0,3765&0,0000&85&0,1837&49\\
clitable&0,7356&0,2644&0,0000&87&0,5098&51\\
chan&0,7308&0,2692&0,0000&26&0,0714&14\\
graphql&0,8971&0,0441&0,0588&68&0,6154&13\\
typedef&0,9167&0,0833&0,0000&36&0,5385&13\\
rdet&0,5658&0,4342&0,0000&76&0,5077&65\\
