name;unknown calls;any
file_utilities;63,16;81,82
pager;71,43;88,89
simple_bootstrap;80,00;85,71
thousands;0,00;5,26
dotcloud;77,78;100,00
rtg;55,56;52,50
fnotation;17,39;88,52
twitter;62,50;80,56
dictype;64,29;73,33
bencode;52,00;54,17
log4p;20,69;85,71
plchatscript;37,50;100,00
lcs;42,86;92,31
readability_parser;28,57;69,23
function_expansion;22,22;48,57
uuid;23,21;42,19
sort_dict;0,00;78,95
timeutils;60,00;78,79
pluuid;23,21;42,19
css_write;40,00;81,01
switex;35,56;93,33
resp;34,38;43,53
resp_parse;34,38;43,53
resbound;36,36;46,67
number_to_word;11,11;92,11
notes800;38,24;91,11
hilog;44,44;56,52
nanp;77,27;100,00
unified_diff;62,50;93,75
gvterm;64,29;97,06
mail_merge;100,00;100,00
coworkers;18,37;60,49
clitable;50,98;72,94
chan;7,14;71,43
graphql;61,54;89,23
typedef;53,85;91,18
rdet;50,77;51,47
interpolate;34,48;73,58
term_diff;29,79;84,34
geoip;60,00;92,31
fluents;100,00;100,00
with;66,67;85,71
lambda;91,67;100,00
web;47,22;83,33
condition;60,00;94,44
open_dicts;46,15;68,57
dot_dcg;0,00;83,33
plsmf;37,50;62,69
matrix;16,35;37,30
julian_lang_en;50,00;90,74
graphml;34,69;75,86
djson;9,52;69,70
consul_client;51,61;83,67
uri_qq;47,27;79,76
auc;5,17;45,05
dirtree;69,05;92,86
maybe;70,00;93,75
dcg_util;0,00;97,30
amazon_api;41,18;73,21
inotify;46,67;78,95
recaptcha;60,00;85,71
with_state;25,64;75,93
tokenize;44,44;93,89
mpi;100,00;100,00
format_spec;39,02;77,11
midiutils;50,00;83,67
edcgs;15,79;59,55
jwt_io;40,82;72,41
plosc;77,42;88,00
semantria;61,29;78,95
fld;48,06;56,82
lambda_abstractions;26,67;93,44
index_util;44,83;68,60
turing;16,67;76,36
func;34,21;66,67
miser;30,00;70,23
tap;43,14;76,29
by_unix;36,62;66,67
pl_omdb;41,03;85,79
mavis;64,91;82,67
race;44,44;84,67
quickcheck;34,15;57,38
rdf_notification;50,85;92,16
delay;24,14;68,04
lbfgs;47,44;78,57
sindice;56,25;98,65
spawn;52,17;72,97
dcg4pt;16,28;57,89
ical;100,00;100,00
jolog;68,52;85,14
graphpl;7,87;50,68
webconsole;53,85;84,72
hdt;36,54;84,68
no_repeats;43,33;79,53
rtp_qsndqs;0,00;60,36
simple_web;55,80;81,36
rdfs2pl;31,91;68,21
file_scope;67,02;84,96
atom_feed;34,85;82,61
swipe;45,45;100,00
msgpack;6,38;89,42
fine_upload;55,93;80,43
pac4pl;55,45;80,60
dpath;24,13;76,78
edcg;12,76;59,04
sweet;16,07;72,92
arouter;38,96;76,07
multimodal_dcg;45,38;85,33
pinyin;15,79;62,33
httplog;28,89;71,20
mqtt;51,85;90,74
wordnet;70,42;87,18
googleclient;58,13;81,40
evil;35,00;73,61
mathml;13,65;76,85
rocksdb;80,43;79,52
smtp;44,26;81,82
bddem;57,58;68,37
sparkle;52,94;94,33
musicxml;49,15;76,06
subclause_expansion;54,55;85,44
pljulia;67,50;94,70
lib_atts;31,25;86,23
ct_fft;1,75;50,67
plcomplex;1,75;50,67
loop_check;36,00;89,40
call_cleaup_each;50,00;78,95
each_call_cleanup;50,00;78,95
fileutils;43,68;82,29
plfann;93,75;97,33
body_reordering;29,95;78,16
stompl;50,63;87,58
memo;63,41;88,50
kubepl;24,39;87,66
clause_attvars;54,98;81,91
debug_call;25,38;78,16
pha;56,22;85,52
irc_client;45,25;80,52
tidylog;42,11;92,79
cplint_r;54,87;67,23
dict_schema;14,08;89,46
smtlib;15,52;88,67
rdf_matcher;38,70;57,28
vcard;98,39;99,64
dictoo;46,90;82,19
slack_prolog;41,88;81,57
sldnfdraw;26,75;59,15
pcache;30,65;63,76
julian;40,83;80,00
nan_common;14,37;62,87
spuds;48,91;73,56
dia;8,24;31,50
callgraph;54,62;87,80
date_time;13,55;66,04
db_facts;30,60;72,53
options;20,00;73,02
pack_errors;30,84;79,17
mail_standards;41,54;69,38
gvar_syntax;43,28;84,03
odict;12,39;80,48
pubmed;29,21;78,36
wgraph;;-100,00
hashtbl;77,31;79,53
prism;25,46;82,09
wsdl;40,14;81,18
docstore;47,66;84,30
musicbrainz;31,84;86,55
ffimatrix;53,99;77,01
bibtex;49,16;75,32
prosqlite;27,44;71,43
ldap4pl;58,99;95,05
instant_prolog_docs;42,96;77,21
dcgutils;45,41;87,24
achelois;36,23;71,65
list_util;36,00;75,56
indexed_terms;49,28;74,65
simple_template;19,33;80,49
rserve_client;51,88;88,30
chess_db;50,00;100,00
obo_core;99,63;100,00
nan_system_sources;37,79;75,36
link_grammar_prolog;53,85;81,25
plrand;52,17;78,16
genutils;51,28;85,04
http2_client;45,43;90,84
markdown;48,30;94,59
upsh;23,81;64,74
rtchecks;52,90;81,75
plumdrum;30,70;86,06
plcairo;;100,00
xsd;33,33;72,34
phil;14,46;57,18
lib;37,42;77,06
mlu;;-100,00
roman;100,00;100,00
pub_graph;33,19;72,95
real;37,26;66,04
xlisting;48,14;76,20
rtrace;48,14;76,20
plml;53,11;90,75
ccprism;57,41;83,62
