; ;0;;;; ;12;;;
; ;any;not any;restricted any;total; ;any;not any;restricted any;total
file_utilities; ;0,8378;0,1622;0,0000;37; ;0,8378;0,1622;0,0000;37
pager; ;0,9000;0,1000;0,0000;10; ;0,9000;0,1000;0,0000;10
simple_bootstrap; ;0,8571;0,1429;0,0000;7; ;0,8571;0,1429;0,0000;7
thousands; ;0,7857;0,2143;0,0000;28; ;0,3571;0,6429;0,0000;28
dotcloud; ;1,0000;0,0000;0,0000;12; ;1,0000;0,0000;0,0000;12
rtg; ;0,7073;0,2927;0,0000;41; ;0,4634;0,5366;0,0000;41
fnotation; ;0,8986;0,0145;0,0870;69; ;0,8986;0,0145;0,0870;69
twitter; ;0,8056;0,1944;0,0000;36; ;0,8056;0,1944;0,0000;36
dictype; ;0,2500;0,7500;0,0000;16; ;0,2500;0,7500;0,0000;16
bencode; ;0,5417;0,4583;0,0000;24; ;0,5417;0,4583;0,0000;24
log4p; ;0,8636;0,1364;0,0000;88; ;0,8636;0,1364;0,0000;88
plchatscript; ;1,0000;0,0000;0,0000;22; ;1,0000;0,0000;0,0000;22
lcs; ;0,9362;0,0638;0,0000;47; ;0,9362;0,0638;0,0000;47
readability_parser; ;0,7778;0,2222;0,0000;18; ;0,7778;0,2222;0,0000;18
function_expansion; ;0,5909;0,4091;0,0000;44; ;0,5909;0,4091;0,0000;44
uuid; ;0,4308;0,5692;0,0000;65; ;0,4308;0,5692;0,0000;65
sort_dict; ;0,7895;0,2105;0,0000;19; ;0,7895;0,2105;0,0000;19
timeutils; ;0,8378;0,1622;0,0000;37; ;0,8108;0,1892;0,0000;37
pluuid; ;0,4308;0,5692;0,0000;65; ;0,4308;0,5692;0,0000;65
css_write; ;0,1750;0,8250;0,0000;80; ;0,1875;0,8125;0,0000;80
switex; ;0,9342;0,0658;0,0000;76; ;0,9342;0,0658;0,0000;76
resp; ;0,6082;0,3918;0,0000;97; ;0,4845;0,5155;0,0000;97
resp_parse; ;0,6082;0,3918;0,0000;97; ;0,4845;0,5155;0,0000;97
resbound; ;0,3556;0,6000;0,0444;45; ;0,4889;0,4667;0,0444;45
number_to_word; ;0,0789;0,9211;0,0000;114; ;0,0789;0,9211;0,0000;114
notes800; ;0,9130;0,0870;0,0000;92; ;0,9130;0,0870;0,0000;92
hilog; ;0,5385;0,4615;0,0000;26; ;0,5385;0,4615;0,0000;26
nanp; ;1,0000;0,0000;0,0000;61; ;1,0000;0,0000;0,0000;61
unified_diff; ;0,9400;0,0600;0,0000;50; ;0,9400;0,0600;0,0000;50
gvterm; ;0,9714;0,0286;0,0000;105; ;0,9714;0,0286;0,0000;105
mail_merge; ;1,0000;0,0000;0,0000;10; ;1,0000;0,0000;0,0000;10
coworkers; ;0,3059;0,6941;0,0000;85; ;0,3765;0,6235;0,0000;85
clitable; ;0,8276;0,1724;0,0000;87; ;0,7356;0,2644;0,0000;87
chan; ;0,8077;0,1923;0,0000;26; ;0,7308;0,2692;0,0000;26
graphql; ;0,8971;0,0441;0,0588;68; ;0,8971;0,0441;0,0588;68
typedef; ;0,9167;0,0833;0,0000;36; ;0,9167;0,0833;0,0000;36
rdet; ;0,6316;0,3684;0,0000;76; ;0,5658;0,4342;0,0000;76
interpolate; ;0,7627;0,2373;0,0000;59; ;0,7627;0,2373;0,0000;59
term_diff; ;0,8452;0,1548;0,0000;84; ;0,8452;0,1548;0,0000;84
geoip; ;0,9259;0,0741;0,0000;27; ;0,9259;0,0741;0,0000;27
fluents; ;1,0000;0,0000;0,0000;20; ;1,0000;0,0000;0,0000;20
with; ;0,8571;0,1429;0,0000;21; ;0,8571;0,1429;0,0000;21
